Base Currency,EUR
Date,2019-10-17

Currency,Rate
ANG,1.950919
SVC,9.726997
CAD,1.461433
XCD,3.006513
MVR,17.143108
HRK,7.442117
AUD,1.630114
MWK,812.104973
XAG,0.06336
MAD,10.69024
PHP,57.126034
NAD,16.592578
GNF,10268.123931
KES,115.408002
MZN,69.296169
BTN,79.131181
MGA,4049.401316
AZN,1.887302
XAU,0.000745
RON,4.753936
CHF,1.098573
EGP,18.0541
BSD,1.111633
TWD,34.066114
GGP,0.864563
LVL,0.672924
MMK,1704.125019
WST,2.972969
ILS,3.937742
BHD,0.419382
GBP,0.864594
TZS,2556.793984
SDG,50.147352
LAK,9817.571977
DJF,197.708397
BYN,2.265757
LBP,1680.510224
RWF,1029.037355
PEN,3.72669
EUR,1
ZMK,10013.591254
RSD,117.571708
INR,79.466711
MUR,40.549555
BWP,12.122526
GEL,3.309572
KMF,492.325007
UZS,10512.868348
RUB,71.309398
CUC,1.112473
BGN,1.955764
JOD,0.7887
NGN,402.715208
BDT,94.149309
PKR,173.26743
BRL,4.630783
KZT,433.725851
CVE,110.713605
HNL,27.533696
NZD,1.750849
ERN,16.686901
NPR,126.610008
ZMW,14.690127
FKP,0.904307
DZD,133.035038
JMD,148.959242
CRC,645.648952
GMD,56.48035
PLN,4.28524
AMD,530.015096
BMD,1.112473
BZD,2.24069
BBD,2.244471
SBD,9.211678
IDR,15784.320553
ALL,123.985293
IQD,1323.842651
BIF,2074.761802
HKD,8.726515
GIP,0.904307
BAM,1.956415
LKR,202.316242
QAR,4.050502
SAR,4.17231
TOP,2.590616
SEK,10.801447
ZAR,16.502308
ARS,64.781352
MYR,4.649579
BYR,21804.467198
KPW,1001.299262
CZK,25.700128
STD,23985.792772
BTC,0.000138
ZWL,358.216248
LSL,16.59253
COP,3845.818526
PAB,1.111643
IRR,46840.667705
NOK,10.216572
OMR,0.42826
CNY,7.873418
XPF,119.331742
AOA,492.272005
SCR,15.244943
MOP,8.982166
XOF,656.153299
XDR,0.808045
NIO,37.557098
ISK,138.491365
VND,25818.825356
VEF,11.110828
UYU,41.492159
USD,1.112473
DOP,59.017084
UGX,4101.864048
BOB,7.686938
UAH,27.547293
TTD,7.540423
KGS,77.702552
SGD,1.518314
TND,3.146057
GHS,6.084903
TMT,3.90478
KHR,4528.877141
ETB,33.051495
PGK,3.760068
TJS,10.771526
AED,4.086334
THB,33.719395
LRD,235.232287
CLP,791.751838
KYD,0.926394
SYP,572.923277
SRD,8.296809
LYD,1.574119
GTQ,8.631682
SLL,10624.115721
SHP,1.469467
IMP,0.864563
FJD,2.436541
PYG,7190.88055
KRW,1310.793025
SZL,16.676333
GYD,232.571665
MDL,19.311403
MXN,21.353697
LTL,3.284843
HTG,106.344726
SOS,646.346393
MNT,2974.223443
AFN,87.104834
CUP,29.48053
CLF,0.028694
JPY,120.79897
TRY,6.472591
YER,278.503129
HUF,331.260851
BND,1.517468
JEP,0.864563
MKD,61.468027
AWG,2.002451
CDF,1846.705133
VUV,130.596997
XAF,656.144454
KWD,0.337613
DKK,7.470699
